Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 04/29  24:00:00,91.0386262852,18.6699414915,37.6727725884,0.0,4.12243109448,15.9888894789,73.9807792898,70.989048872,2.97173041782,0.02
 04/30  01:00:00,71.9609523978,11.9558269713,27.5802324317,0.0,2.06121554724,15.9888894789,45.149655422,42.1579250042,2.97173041782,0.02
 04/30  02:00:00,88.1347271564,18.6699414915,36.8300890172,0.0,2.06121554724,15.9888894789,89.4203170834,77.8480358464,2.97173041782,8.60055081919
 04/30  03:00:00,79.8328944772,14.62296147,32.715105521,0.0,2.06121554724,15.9888894789,59.2549487461,56.2632183283,2.97173041782,0.02
 04/30  04:00:00,71.6842780807,13.3356724939,25.8537781878,0.0,2.06121554724,15.9888894789,59.0788825925,56.0871521747,2.97173041782,0.02
 04/30  05:00:00,92.4631503126,19.0681856347,40.7835797855,0.0,2.06121554724,15.9888894789,77.8645356168,74.872805199,2.97173041782,0.02
 04/30  06:00:00,93.0972112462,22.2261208232,42.8414813607,0.0,2.06121554724,15.9888894789,100.68668332,97.6949529017,2.97173041782,0.02
 04/30  07:00:00,76.4895311907,18.6390893093,39.3340571139,0.0,2.06121554724,15.9888894789,80.1763849436,77.1846545258,2.97173041782,0.02
 04/30  08:00:00,123.287751386,23.8566868596,52.9895692363,0.0,4.12243109448,41.7362269337,90.6284034276,85.655519398,4.9528840297,0.02
 04/30  09:00:00,108.035386816,18.853637472,42.8568116658,0.0,4.12243109448,41.7362269337,62.7097982372,57.7369142075,4.9528840297,0.02
 04/30  10:00:00,128.128768361,23.9425061247,57.7447670219,0.0,4.12243109448,41.7362269337,65.9661051026,60.9932210729,4.9528840297,0.02
 04/30  11:00:00,113.341318443,19.3900078787,47.6263729477,0.0,4.12243109448,41.7362269337,51.839384348,46.8665003183,4.9528840297,0.02
 04/30  12:00:00,130.329728609,24.1570542874,59.7311791548,0.0,4.12243109448,41.7362269337,66.8924354854,61.9195514557,4.9528840297,0.02
 04/30  13:00:00,114.632558907,19.3900078787,48.9176134471,0.0,4.12243109448,41.7362269337,53.6859236506,48.7130396209,4.9528840297,0.02
 04/30  14:00:00,132.411856012,24.2643283687,61.7060325002,0.0,4.12243109448,41.7362269337,71.3097194519,66.3368354222,4.9528840297,0.02
 04/30  15:00:00,115.007879551,19.49728196,49.1856600221,0.0,4.12243109448,41.7362269337,64.7519657197,59.7790816901,4.9528840297,0.02
 04/30  16:00:00,114.236552486,24.3716024501,60.2811472029,0.0,4.12243109448,24.8785346261,87.5293972359,82.5565132063,4.9528840297,0.02
 04/30  17:00:00,78.5488993848,17.5046441315,42.5744937072,0.0,2.06121554724,15.9888894789,65.3991970312,62.4074666134,2.97173041782,0.02
 04/30  18:00:00,98.6855897571,23.4825576171,56.5934014991,0.0,2.06121554724,15.9888894789,89.6035900733,86.6118596555,2.97173041782,0.02
 04/30  19:00:00,70.1118289556,15.7265544656,35.9621359466,0.0,2.06121554724,15.9888894789,61.5404754711,58.5487450533,2.97173041782,0.02
