Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/01  17:00:00,352.684523094,35.7886361787,136.036837609,0.0,32.1804615127,77.5397301883,248.580931161,10.8562643146,49.9818,187.742866847
 11/01  18:00:00,424.530669094,35.8158618547,142.527949252,0.0,77.122965704,86.2600435998,397.139847651,10.2768711617,49.9818,336.881176489
 11/01  19:00:00,432.156993081,35.7886361787,142.679736709,0.0,102.647051061,80.1663183927,298.343994746,9.76464637957,33.3212,255.258148367
 11/01  20:00:00,457.005718388,35.7886361787,142.277976783,0.0,115.40909374,92.7192997104,290.047685926,9.74239610999,33.3212,246.984089816
 11/01  21:00:00,432.932473059,35.8035363139,142.070683975,0.0,102.647051061,94.1340635361,406.84408715,12.9172559611,24.9909,368.935931189
 11/01  22:00:00,366.881252654,35.8497450344,142.651732718,0.0,77.122965704,65.871452062,313.591341433,17.7473439664,16.6606,279.183397466
 11/01  23:00:00,283.120837522,35.8356426937,126.950991292,0.0,38.286128036,48.4199368926,183.422822345,21.0731739232,8.3303,154.019348422
 11/01  24:00:00,140.919985334,30.9309186967,28.4724538871,0.0,25.5240853573,30.610668775,134.317965631,7.94816102705,3.33212,123.037684604
 11/02  01:00:00,142.781031018,30.9309186967,37.7224863559,0.0,19.418418834,29.3649097162,103.339628374,5.9535651453,3.33212,94.0539432287
 11/02  02:00:00,171.929778022,32.5501578574,72.6422454577,0.0,12.7620426787,28.1191506574,103.043363823,8.52982969424,3.33212,91.1814141291
 11/02  03:00:00,142.71447507,31.740538277,44.5574911416,0.0,12.7620426787,28.1191506574,106.791615585,12.7821428584,3.33212,90.677352727
 11/02  04:00:00,186.692085772,33.3597774377,79.9660783603,0.0,12.7620426787,28.1191506574,141.570520226,14.2532290043,3.33212,123.985171222
 11/02  05:00:00,218.651719313,33.3597774377,84.2796463025,0.0,25.5240853573,30.610668775,234.06607527,11.4868064205,8.3303,214.24896885
 11/02  06:00:00,331.344140427,33.8455491859,98.6902908774,0.0,51.0481707146,78.1489452969,397.620486472,11.9371030334,16.6606,369.022783439
 11/02  07:00:00,409.927703891,35.8116310362,129.327216887,0.0,64.3609230253,109.708623606,539.126318108,23.5163349961,24.9909,490.619083112
 11/02  08:00:00,373.045036481,35.7891891558,140.374210005,0.0,51.0481707146,80.7689615957,428.339894935,14.0236916337,33.3212,380.995003301
 11/02  09:00:00,347.6250816,36.3517434086,141.822757941,0.0,51.0481707146,71.0224615957,354.075227313,2.86414466927,66.8089,284.402182644
 11/02  10:00:00,299.359114157,36.4440447438,141.246415124,0.0,32.1804615127,65.7244621605,313.741023737,4.72210904243,83.4695,225.549414694
 11/02  11:00:00,299.623851044,36.4996834872,140.0160879,0.0,32.1804615127,65.7244621605,257.944431451,4.45983269303,83.4695,170.015098758
 11/02  12:00:00,297.588875308,36.5463193791,137.746476074,0.0,32.1804615127,65.7244621605,254.253954156,3.89415168102,83.4695,166.890302475
 11/02  13:00:00,287.257815961,36.584660425,136.142205664,0.0,32.1804615127,55.9779621605,244.636982379,3.90141646332,75.1392,165.596365916
 11/02  14:00:00,288.356495076,36.6088449565,136.886250888,0.0,32.1804615127,55.9779621605,234.359926546,5.03806483366,66.8089,162.512961712
 11/02  15:00:00,289.252702807,36.634959887,138.039172347,0.0,32.1804615127,55.9779621605,244.611297072,5.79610399774,75.1392,163.675993074
 11/02  16:00:00,319.184060945,36.3561010406,139.617115547,0.0,32.1804615127,60.9114621605,223.754266548,3.14831304806,91.7998,128.8061535
 11/02  17:00:00,359.614523351,35.8539497536,140.41954408,0.0,32.1804615127,77.5397301883,244.764675444,6.89506491588,49.9818,187.887810528
 11/02  18:00:00,423.125876907,35.8969853969,139.140623572,0.0,77.122965704,86.2600435998,395.387326946,7.94777742218,49.9818,337.457749523
 11/02  19:00:00,430.23484914,35.8409691221,138.838910575,0.0,102.647051061,80.1663183927,295.493845936,6.6123374293,33.3212,255.560308506
 11/02  20:00:00,455.370817585,35.8334460831,138.913579829,0.0,115.40909374,92.7192997104,286.970442865,6.40782383476,33.3212,247.24141903
