Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/22  01:00:00,855.062055673,96.5554385078,461.186922925,0.0,46.0930336215,113.312780494,359.76293521,336.71090714,5.66466996096,17.3873581086
 07/22  02:00:00,859.502368235,96.5554385078,463.264601265,0.0,46.0930336215,113.312780494,323.844033663,309.47454657,5.66466996096,8.70481713156
 07/22  03:00:00,862.762289183,96.5554385078,465.748111676,0.0,46.0930336215,113.312780494,331.718356169,308.66690998,5.66466996096,17.3867762274
 07/22  04:00:00,874.317714174,96.5554385078,466.650453475,0.0,55.6251445156,113.312780494,313.498110023,299.128884662,5.66466996096,8.70455539912
 07/22  05:00:00,862.127803783,96.5554385078,463.274414821,0.0,55.6251445156,113.312780494,337.495596633,305.947994399,14.1616749024,17.3859273311
 07/22  06:00:00,925.656777859,96.5554385078,461.801192843,0.0,65.1572554096,176.889270242,276.921340346,239.893685248,28.3233498048,8.70430529404
 07/22  07:00:00,1050.92266801,98.2212059233,464.824507694,0.0,109.682768182,220.96816451,377.177388063,317.303934103,42.4850247072,17.3884292526
 07/22  08:00:00,1064.2768764,98.3341405484,468.388367774,0.0,109.682768182,220.96816451,345.198462526,271.085669744,56.6466996096,17.4660931723
 07/22  09:00:00,1177.65008668,100.941980535,469.876352758,0.0,131.945524568,266.955817592,292.502853179,232.476701146,42.4850247072,17.5411273252
 07/22  10:00:00,1187.49182438,101.132981758,470.639838557,0.0,131.945524568,274.45309292,308.214852757,210.994436084,70.808374512,26.4120421613
 07/22  11:00:00,1186.79945179,101.173044402,469.705031789,0.0,131.945524568,274.45309292,311.521372898,214.300721915,70.808374512,26.4122764712
 07/22  12:00:00,1152.0317879,101.620356687,468.186094976,0.0,131.945524568,274.45309292,318.920283553,221.704996661,70.808374512,26.4069123802
 07/22  13:00:00,1143.27743088,102.344161345,467.141920567,0.0,131.945524568,266.955817592,309.40409323,226.350785348,56.6466996096,26.406608272
 07/22  14:00:00,1144.25802721,103.040860724,467.500013072,0.0,131.945524568,266.955817592,291.616554499,222.726144852,42.4850247072,26.40538494
 07/22  15:00:00,1064.65633092,96.5554385078,470.896757211,0.0,109.682768182,212.545889182,220.137469935,137.082820474,56.6466996096,26.4079498513
 07/22  16:00:00,1072.82327767,96.5554385078,470.702600135,0.0,109.682768182,220.04316451,240.254365383,128.879718888,84.9700494144,26.4045970806
 07/22  17:00:00,1027.35458626,96.5554385078,469.025883901,0.0,109.682768182,220.04316451,257.021345796,145.764679906,84.9700494144,26.2866164757
 07/22  18:00:00,985.053882341,96.5554385078,467.546642698,0.0,100.150657288,199.110933808,301.417909923,207.744035961,84.9700494144,8.7038245469
 07/22  19:00:00,976.98905758,96.5554385078,466.838291504,0.0,100.150657288,191.61365848,321.058810893,247.024627492,56.6466996096,17.3874837916
 07/22  20:00:00,893.031546203,96.5554385078,481.020266001,0.0,55.6251445156,124.558693486,392.109381722,326.759093089,56.6466996096,8.7035890235
 07/22  21:00:00,918.296613768,96.5554385078,501.38816193,0.0,55.6251445156,124.558693486,396.673481538,345.484077984,42.4850247072,8.70437884652
 07/22  22:00:00,912.991445793,96.5554385078,506.168111805,0.0,46.0930336215,124.558693486,411.314246178,365.602348354,28.3233498048,17.3885480192
 07/22  23:00:00,915.371086735,96.5554385078,507.505647551,0.0,46.0930336215,124.558693486,397.242011901,374.376207133,14.1616749024,8.70412986507
 07/22  24:00:00,892.896035325,96.5554385078,497.031392483,0.0,46.0930336215,113.312780494,403.516623039,380.463754913,5.66466996096,17.3881981652
 07/23  01:00:00,849.626978254,96.5554385078,466.99924513,0.0,34.9616554283,113.312780494,380.479832717,366.111358662,5.66466996096,8.70380409369
 07/23  02:00:00,839.680740399,96.5554385078,458.374143326,0.0,34.9616554283,113.312780494,385.846450659,362.794458166,5.66466996096,17.3873225322
 07/23  03:00:00,837.555873709,96.5554385078,456.556856473,0.0,34.9616554283,113.312780494,385.565614693,371.197468392,5.66466996096,8.70347633994
 07/23  04:00:00,852.172101594,96.5554385078,460.234584639,0.0,44.4937663224,113.312780494,399.260275012,376.206283794,5.66466996096,17.3893212574
 07/23  05:00:00,861.170115644,96.5554385078,475.325956352,0.0,44.4937663224,113.312780494,413.345881947,390.480995876,14.1616749024,8.70321116848
 07/23  06:00:00,923.958038712,96.5554385078,472.695582607,0.0,54.0258772165,176.889270242,358.898884953,313.186776197,28.3233498048,17.3887589508
 07/23  07:00:00,933.830211326,96.5554385078,475.704074995,0.0,54.0258772165,184.38654557,338.346075749,287.158085605,42.4850247072,8.70296543759
 07/23  08:00:00,1014.96822917,96.5554385078,477.416116539,0.0,65.1572554096,220.04316451,323.267991084,249.16417319,56.6466996096,17.4571182843
 07/23  09:00:00,1001.13071752,96.5554385078,472.101300302,0.0,65.1572554096,212.545889182,302.780212379,234.014236184,42.4850247072,26.2809514882
 07/23  10:00:00,1010.52385862,96.5554385078,473.984620638,0.0,65.1572554096,220.04316451,332.224670081,235.031673456,70.808374512,26.384622113
 07/23  11:00:00,1013.67512347,96.5554385078,475.809035074,0.0,65.1572554096,220.04316451,323.12462879,234.719648131,70.808374512,17.5966061469
 07/23  12:00:00,1013.18819865,96.5554385078,476.388519994,0.0,65.1572554096,220.04316451,330.018055874,232.823757183,70.808374512,26.3859241791
 07/23  13:00:00,1005.54593839,96.5554385078,476.085040044,0.0,65.1572554096,212.545889182,311.560684862,228.530233866,56.6466996096,26.383751387
 07/23  14:00:00,1000.19239739,96.5554385078,471.493523603,0.0,65.1572554096,212.545889182,280.578085663,211.706759861,42.4850247072,26.3863010954
 07/23  15:00:00,999.83370233,96.5554385078,471.523917557,0.0,65.1572554096,212.545889182,272.876896953,189.846154631,56.6466996096,26.3840427128
 07/23  16:00:00,975.770788084,96.5554385078,471.391826313,0.0,65.1572554096,220.04316451,275.326823689,163.969866748,84.9700494144,26.3869075267
 07/23  17:00:00,930.892956375,96.5554385078,471.387983025,0.0,54.0258772165,184.38654557,256.241213385,153.747114243,84.9700494144,17.5240497273
 07/23  18:00:00,900.303395927,96.5554385078,470.889635679,0.0,44.4937663224,163.454314868,291.837200909,189.478145637,84.9700494144,17.3890058576
 07/23  19:00:00,892.013608534,96.5554385078,470.094786164,0.0,44.4937663224,155.95703954,277.227930658,211.87815123,56.6466996096,8.7030798183
 07/23  20:00:00,870.460334768,96.5554385078,469.398904886,0.0,44.4937663224,124.558693486,338.073656198,264.038487029,56.6466996096,17.3884695588
 07/23  21:00:00,872.320932298,96.5554385078,468.898802277,0.0,44.4937663224,124.558693486,339.459982326,288.272119646,42.4850247072,8.70283797294
 07/23  22:00:00,860.992950216,96.5554385078,468.583367042,0.0,34.9616554283,124.558693486,367.117917978,321.406647393,28.3233498048,17.3879207796
 07/23  23:00:00,861.194583494,96.5554385078,468.234508536,0.0,34.9616554283,124.558693486,365.692256921,342.827230548,14.1616749024,8.70335147095
 07/23  24:00:00,852.779398574,96.5554385078,470.969709303,0.0,34.9616554283,113.312780494,386.85748349,363.804016144,5.66466996096,17.3887973851
 07/24  01:00:00,873.85732594,96.5554385078,479.728100452,0.0,46.0930336215,113.312780494,390.547158945,376.177715582,5.66466996096,8.70477340243
 07/24  02:00:00,883.539849054,96.5554385078,488.300986634,0.0,46.0930336215,113.312780494,411.289721467,388.238482906,5.66466996096,17.3865685992
 07/24  03:00:00,890.588461405,96.5554385078,494.696289778,0.0,46.0930336215,113.312780494,409.652456172,395.283359157,5.66466996096,8.70442705366
