Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/05  18:00:00,1130.79786147,96.4735547807,483.759087844,0.0,166.938926447,199.110933808,198.277520316,104.594573298,84.9700494144,8.71289760394
 06/05  19:00:00,1129.87454384,96.4735547807,485.659619272,0.0,166.938926447,191.61365848,209.841310272,135.790163122,56.6466996096,17.4044475402
 06/05  20:00:00,998.752550141,96.4735547807,479.280716115,0.0,100.150657288,124.558693486,277.359653169,212.00138508,56.6466996096,8.71156847912
 06/05  21:00:00,946.077302799,96.4735547807,471.356685976,0.0,100.150657288,124.558693486,313.705696595,253.849935204,42.4850247072,17.3707366842
 06/05  22:00:00,874.878186784,96.4735547807,470.172419899,0.0,46.0930336215,124.558693486,340.053185439,303.036690563,28.3233498048,8.69314507202
 06/05  23:00:00,875.017609627,96.4735547807,470.020156314,0.0,46.0930336215,124.558693486,358.678018962,335.82323104,14.1616749024,8.69311301949
 06/05  24:00:00,873.423854695,96.4735547807,479.077146737,0.0,46.0930336215,113.312780494,382.270175366,359.239230055,5.66466996096,17.3662753507
 06/06  01:00:00,882.012067538,96.4735547807,486.733105936,0.0,46.0930336215,113.312780494,380.798994964,366.441518434,5.66466996096,8.69280656895
 06/06  02:00:00,885.220025168,96.4735547807,489.575070255,0.0,46.0930336215,113.312780494,385.05967884,370.702306864,5.66466996096,8.69270201594
 06/06  03:00:00,885.967731978,96.4735547807,490.241934832,0.0,46.0930336215,113.312780494,396.043720678,373.013851911,5.66466996096,17.3651988061
 06/06  04:00:00,979.551946663,96.4735547807,489.948868475,0.0,100.150657288,148.969399434,368.443339749,354.086156133,5.66466996096,8.69251365458
 06/06  05:00:00,971.109099044,97.2565005726,487.478852932,0.0,100.150657288,149.894399434,503.877898014,481.023754021,14.1616749024,8.69246909001
 06/06  06:00:00,1188.09446222,102.151552124,480.724248253,0.0,176.471037341,302.612436532,386.75282549,341.063438151,28.3233498048,17.3660375345
 06/06  07:00:00,1303.64487748,105.796830642,472.005115232,0.0,243.2593065,310.10971186,363.660250771,303.678600891,42.4850247072,17.4966251732
 06/06  08:00:00,1346.14766742,107.681688237,471.159555011,0.0,243.2593065,310.10971186,351.679005766,268.694758125,56.6466996096,26.3375480313
 06/06  09:00:00,1385.1379124,109.376983909,471.728455241,0.0,243.2593065,302.612436532,291.28381698,222.376820676,42.4850247072,26.4219715975
 06/06  10:00:00,1398.44656263,111.761682636,473.074931779,0.0,243.2593065,310.10971186,292.001571263,194.645314185,70.808374512,26.5478825653
 06/06  11:00:00,1402.76656196,113.076817132,475.230017786,0.0,243.2593065,310.10971186,297.577209537,191.323051141,70.808374512,35.4457838843
 06/06  12:00:00,1362.86111281,114.483655073,475.479842046,0.0,243.2593065,310.10971186,285.919419686,188.636726221,70.808374512,26.4743189529
 06/06  13:00:00,1401.36191388,116.933537382,477.15570925,0.0,243.2593065,302.612436532,264.604745211,172.510978816,56.6466996096,35.4470667857
 06/06  14:00:00,1412.02757988,121.593801122,481.097328669,0.0,243.2593065,302.612436532,216.269749267,138.400940652,42.4850247072,35.3837839078
 06/06  15:00:00,1417.40850962,126.796552628,481.229256215,0.0,243.2593065,302.612436532,191.275743703,108.119099362,56.6466996096,26.5099447316
 06/06  16:00:00,1427.99522653,131.341040889,480.633195217,0.0,243.2593065,310.10971186,203.892741329,92.5294454375,84.9700494144,26.3932464767
 06/06  17:00:00,1430.78523177,133.875717262,480.881925308,0.0,243.2593065,310.10971186,193.881370764,91.4560156637,84.9700494144,17.4553056862
 06/06  18:00:00,1130.30955012,96.4735547807,483.343548819,0.0,166.938926447,199.110933808,217.612518172,123.930414045,84.9700494144,8.71205471247
 06/06  19:00:00,1128.37225179,96.4735547807,485.22117626,0.0,166.938926447,191.61365848,225.999452819,151.947306583,56.6466996096,17.4054466268
 06/06  20:00:00,991.284311493,96.4735547807,474.755367902,0.0,100.150657288,124.558693486,291.702770693,217.650703108,56.6466996096,17.4053679762
 06/06  21:00:00,947.505390166,96.4735547807,472.666609828,0.0,100.150657288,124.558693486,295.380378444,244.200410236,42.4850247072,8.69494350101
 06/06  22:00:00,878.532004455,96.4735547807,471.980111897,0.0,46.0930336215,124.558693486,313.690316857,276.674279121,28.3233498048,8.69268793192
 06/06  23:00:00,877.662278222,96.4735547807,471.353895129,0.0,46.0930336215,124.558693486,329.471498666,297.944606939,14.1616749024,17.3652168247
 06/06  24:00:00,862.891922254,96.4735547807,470.433331538,0.0,46.0930336215,113.312780494,345.69818995,331.340985704,5.66466996096,8.6925342855
 06/07  01:00:00,865.770945367,96.4735547807,472.474608904,0.0,46.0930336215,113.312780494,368.846143814,354.489158937,5.66466996096,8.69231491605
 06/07  02:00:00,877.434039943,96.4735547807,482.667633292,0.0,46.0930336215,113.312780494,393.179235856,370.150336868,5.66466996096,17.364229027
 06/07  03:00:00,884.758040145,96.4735547807,489.15267823,0.0,46.0930336215,113.312780494,393.19286132,378.836211973,5.66466996096,8.69197938647
 06/07  04:00:00,977.638109845,96.4735547807,491.193266471,0.0,100.150657288,148.969399434,375.123261265,360.766689156,5.66466996096,8.69190214783
 06/07  05:00:00,967.869665627,98.3595968949,485.839402465,0.0,100.150657288,149.894399434,504.077047744,472.550218711,14.1616749024,17.3651541305
 06/07  06:00:00,1182.7663212,103.30020092,476.088770969,0.0,176.471037341,302.612436532,372.881443887,335.866413598,28.3233498048,8.69168048425
 06/07  07:00:00,1305.63004212,107.967861822,471.723067108,0.0,243.2593065,310.10971186,345.904692461,285.924032699,42.4850247072,17.4956350544
 06/07  08:00:00,1352.1668761,109.781011306,471.95411041,0.0,243.2593065,310.10971186,322.896584067,239.909135405,56.6466996096,26.3407490518
 06/07  09:00:00,1386.66372511,111.042540061,471.903927563,0.0,243.2593065,302.612436532,299.723125216,230.8183733,42.4850247072,26.4197272088
 06/07  10:00:00,1395.61003016,112.448734149,471.988168572,0.0,243.2593065,310.10971186,321.014396903,223.668082062,70.808374512,26.5379403288
 06/07  11:00:00,1400.24880643,114.024915964,472.989417381,0.0,243.2593065,310.10971186,313.848140086,207.590737965,70.808374512,35.449027609
 06/07  12:00:00,1363.5730627,116.597588633,474.495845128,0.0,243.2593065,310.10971186,284.599539646,187.320996364,70.808374512,26.47016877
 06/07  13:00:00,1407.00864243,120.575454595,478.418683925,0.0,243.2593065,302.612436532,252.274476338,160.177529608,56.6466996096,35.4502471196
 06/07  14:00:00,1417.44856067,126.909944559,481.172165413,0.0,243.2593065,302.612436532,201.403369422,123.533325389,42.4850247072,35.3850193256
 06/07  15:00:00,1425.34888665,135.150463316,480.83317616,0.0,243.2593065,302.612436532,174.276395428,91.1294490693,56.6466996096,26.5002467488
 06/07  16:00:00,1440.10997763,144.100741784,479.993134667,0.0,243.2593065,310.10971186,182.076846874,70.7158162571,84.9700494144,26.3909812021
 06/07  17:00:00,1447.2839304,151.616011914,479.646413157,0.0,243.2593065,310.10971186,158.567418711,56.1473772046,84.9700494144,17.4499920924
 06/07  18:00:00,1130.56002722,96.4735547807,483.593417703,0.0,166.938926447,199.110933808,187.829944394,85.4556203859,84.9700494144,17.4042745939
 06/07  19:00:00,1129.63741193,96.4735547807,485.512454728,0.0,166.938926447,191.61365848,174.018440125,108.658957935,56.6466996096,8.71278258004
 06/07  20:00:00,1006.14571539,96.4735547807,484.427627941,0.0,100.150657288,124.558693486,254.016889409,179.96460878,56.6466996096,17.4055810186
